order_id,order_date,customer_id,customer_name,region,category,product_name,quantity,unit_price,total_sales
1,2024-01-19,C271,Customer_107,East,Electronics,Laptop,7,798.58,5590.06
2,2023-10-04,C615,Customer_122,East,Clothing,Jeans,8,602.67,4821.36
3,2023-11-09,C459,Customer_088,North,Electronics,Laptop,3,108.98,326.94
4,2023-04-20,C664,Customer_131,West,Beauty,Lotion,5,605.1,3025.5
5,2024-03-10,C344,Customer_492,North,Electronics,iPhone 13,6,65.85,395.1
6,2024-05-16,C956,Customer_277,North,Clothing,Sneakers,6,10.77,64.62
7,2023-02-28,C022,Customer_253,East,Furniture,Bookshelf,1,311.2,311.2
8,2023-06-16,C059,Customer_511,East,Electronics,iPhone 13,9,298.32,2684.88
9,2024-08-16,C244,Customer_832,South,Furniture,Bed Frame,3,388.64,1165.92
10,2023-02-05,C819,Customer_647,East,Electronics,Smartwatch,9,55.99,503.91
11,2023-08-22,C274,Customer_388,North,Clothing,Sneakers,5,455.99,2279.95
12,2023-07-17,C242,Customer_777,North,Groceries,Eggs,9,965.98,8693.82
13,2024-07-12,C092,Customer_367,East,Beauty,Shampoo,5,238.58,1192.9
14,2023-11-23,C776,Customer_943,East,Clothing,Sneakers,7,613.9,4297.3
15,2023-11-30,C932,Customer_562,West,Clothing,Sneakers,3,910.23,2730.69
16,2023-03-02,C390,Customer_566,West,Furniture,Bookshelf,8,757.81,6062.48
17,2024-04-10,C703,Customer_402,South,Groceries,Cereal,4,193.01,772.04
18,2024-05-05,C996,Customer_270,West,Groceries,Rice,2,401.2,802.4
19,2024-10-01,C252,Customer_702,South,Electronics,Samsung TV,8,574.74,4597.92
20,2024-10-03,C749,Customer_338,North,Beauty,Shampoo,8,846.09,6768.72
21,2024-09-10,C217,Customer_764,South,Furniture,Bookshelf,5,590.88,2954.4
22,2024-03-10,C813,Customer_065,North,Groceries,Milk,9,303.31,2729.79
23,2023-09-13,C344,Customer_129,North,Beauty,Lipstick,9,987.02,8883.18
24,2024-07-23,C139,Customer_499,South,Clothing,Jacket,8,15.47,123.76
25,2023-12-18,C419,Customer_289,North,Groceries,Eggs,1,714.23,714.23
26,2024-07-16,C041,Customer_028,North,Clothing,Jacket,5,927.04,4635.2
27,2023-07-31,C780,Customer_930,East,Electronics,Smartwatch,7,851.54,5960.78
28,2023-04-12,C407,Customer_574,West,Electronics,Laptop,1,72.92,72.92
29,2024-04-19,C684,Customer_872,East,Groceries,Juice,8,669.26,5354.08
30,2023-11-05,C961,Customer_739,East,Clothing,Jeans,6,888.34,5330.04
31,2023-04-06,C643,Customer_769,West,Furniture,Sofa,5,971.99,4859.95
32,2024-06-25,C767,Customer_398,South,Beauty,Shampoo,5,565.66,2828.3
33,2024-07-26,C207,Customer_015,East,Furniture,Bed Frame,7,50.03,350.21
34,2024-07-06,C743,Customer_241,West,Beauty,Shampoo,3,41.11,123.33
35,2024-08-18,C900,Customer_734,East,Electronics,Samsung TV,4,567.64,2270.56
36,2023-04-24,C749,Customer_655,West,Beauty,Perfume,5,256.8,1284.0
37,2023-04-28,C839,Customer_699,North,Furniture,Bookshelf,4,943.43,3773.72
38,2023-08-19,C578,Customer_682,East,Beauty,Lotion,3,169.61,508.83
39,2023-02-16,C796,Customer_028,West,Electronics,Samsung TV,9,114.44,1029.96
40,2024-08-04,C331,Customer_640,East,Electronics,AirPods,4,893.63,3574.52
41,2023-08-14,C231,Customer_190,North,Beauty,Lipstick,7,897.13,6279.91
42,2023-11-09,C283,Customer_958,North,Beauty,Perfume,1,279.41,279.41
43,2024-04-09,C745,Customer_259,South,Clothing,T-Shirt,9,819.83,7378.47
44,2024-02-08,C411,Customer_649,North,Furniture,Bed Frame,7,173.01,1211.07
